tournament,player,deck_number,deck
CAFS16,Marto,1,[Necromancy]/Blood/Truth
CAFS16,StrixVaria,1,[Anarchy/Blood/Fire]
CAFS16,Zejety,1,[Finesse]/Discipline/Strength
CAFS16,cstick,1,[Demonology]/Anarchy/Law
CAFS16,Pooh_Bear,1,[Demonology/Disease/Necromancy]
CAFS16,Mooseknuckles,1,[Growth]/Necromancy/Strength
CAFS16,FrozenStorm,1,[Past]/Anarchy/Peace
CAFS16,Anemone,1,[Demonology/Disease/Necromancy]
CAFS16,Barrelfish,1,[Necromancy]/Blood/Growth
CAFS16,EricF,1,[Past]/Anarchy/Peace
CAFS16,Khel,1,[Feral]/Blood/Peace
CAFS16,CarpeGuitarrem,1,[Anarchy/Blood/Fire]
CAFS16,Alhazard,1,[Necromancy]/Blood/Truth
CAFS16,Swagmaster_Turtle,1,[Discipline/Ninjitsu/Strength]
CAFS16,zhavier,1,[Balance/Feral/Growth]
CAFS16,Castanietzsche,1,[Law/Peace/Truth]
CAFS16,PointyFinger,1,[Anarchy/Blood/Fire]
CAFS16,Bomber678,1,[Feral]/Strength/Truth
CAFS16,PiHalbe,1,[Demonology/Disease/Necromancy]
CAFS16,Drakona,1,[Blood/Fire]/Finesse
CAFS16,bravo840,1,[Necromancy]/Blood/Ninjitsu
CAFS16,jasonwocky,1,[Future/Past/Present]
CAFS16,Lettucemode,1,[Balance/Feral/Growth]
CAMS17,EricF,1,[Future]/Necromancy/Peace
CAMS17,Jadiel,1,[Necromancy]/Anarchy/Blood
CAMS17,FrozenStorm,1,[Past]/Anarchy/Peace
CAMS17,zhavier,1,[Discipline]/Anarchy/Present
CAMS17,Shadow_Night_Black,1,[Feral]/Present/Truth
CAMS17,Bob199,1,[Past]/Growth/Strength
CAMS17,holytispon,1,[Demonology]/Future/Truth
CAMS17,petE,1,[Discipline]/Blood/Necromancy
CAMS17,ARMed_PIrate,1,[Present]/Anarchy/Strength
CAMS17,Eijolend,1,[Finesse]/Discipline/Disease
CAMS17,Penatronic,1,[Discipline]/Blood/Law
CAMS18,zhavier,1,[Anarchy]/Growth/Strength
CAMS18,FrozenStorm,1,[Demonology/Necromancy]/Finesse
CAMS18,Hobusu,1,[Anarchy]/Growth/Strength
CAMS18,Shadow_Night_Black,1,[Future/Past/Present]
CAMS18,Shax,1,[Necromancy]/Blood/Peace
CAMS18,Dreamfire,1,[Demonology]/Anarchy/Balance
CAMS18,Nekoatl,1,[Demonology]/Growth/Strength
CAMS18,cstick,1,[Finesse]/Discipline/Present
CAMS18,CarpeGuitarrem,1,[Anarchy/Blood/Fire]
CAMS18,RathyAro,1,[Demonology/Necromancy]/Finesse
CAMS18,Lettucemode,1,[Balance/Feral/Growth]
CAMS18,charnel_mouse,1,[Balance/Growth]/Strength
CAMS18,Bomber678,1,[Future]/Blood/Peace
CAMS18,codexnewb,1,[Future]/Balance/Peace
CAMS19,FrozenStorm,1,[Future/Past]/Finesse
CAMS19,zhavier,1,[Anarchy]/Growth/Strength
CAMS19,Bomber678,1,[Finesse]/Peace/Truth
CAMS19,charnel_mouse,1,[Balance]/Blood/Strength
CAMS19,Nopethebard,1,[Discipline/Strength]/Finesse
CAMS19,EricF,1,[Anarchy/Blood]/Demonology
CAMS19,Persephone,1,[Balance/Feral/Growth]
CAMS19,Nekoatl,1,[Necromancy]/Blood/Growth
CAMS19,CarpeGuitarrem,1,[Necromancy]/Blood/Finesse
CAMS19,James,1,[Peace/Truth]/Finesse
CAMS19,bansa,1,[Law/Peace]/Finesse
CAMS19,Unity,1,[Balance/Growth]/Present
CAMS19,hardy83,1,[Balance/Feral/Growth]
CAMS19,codexnewb,1,[Demonology/Necromancy]/Finesse
CAMS19,bolyarich,1,[Anarchy]/Growth/Strength
